ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,PA,93,Dados > 256kbps,3G,1020
2009,2,PA,93,Dados até 256kbps,2G,573
2009,2,PA,93,GSM,2G,349120
2009,2,PA,93,WCDMA,3G,2123
2009,2,PA,94,CDMA IS 95,2G,62187
2009,2,PA,94,CDMA2000,2G,765
2009,2,PA,94,Dados > 256kbps,3G,4754
2009,2,PA,94,Dados até 256kbps,2G,1955
2009,2,PA,94,GSM,2G,684798
2009,2,PA,94,WCDMA,3G,4795
2009,2,PB,83,AMPS,1G,73
2009,2,PB,83,Dados > 256kbps,3G,3381
2009,2,PB,83,Dados até 256kbps,2G,21344
2009,2,PB,83,GSM,2G,2174306
2009,2,PB,83,TDMA,2G,36675
2009,2,PB,83,WCDMA,3G,4248
2009,2,PE,81,AMPS,1G,105
2009,2,PE,81,Dados > 256kbps,3G,19737
2009,2,PE,81,Dados até 256kbps,2G,107507
2009,2,PE,81,GSM,2G,5482474
2009,2,PE,81,TDMA,2G,72971
2009,2,PE,81,WCDMA,3G,17638
2009,2,PE,87,AMPS,1G,27
2009,2,PE,87,Dados > 256kbps,3G,1529
2009,2,PE,87,Dados até 256kbps,2G,2587
2009,2,PE,87,GSM,2G,1008423
2009,2,PE,87,TDMA,2G,16255
2009,2,PE,87,WCDMA,3G,432
2009,2,PI,86,AMPS,1G,69
2009,2,PI,86,Dados > 256kbps,3G,2986
2009,2,PI,86,Dados até 256kbps,2G,10351
2009,2,PI,86,GSM,2G,1211042
2009,2,PI,86,TDMA,2G,12657
2009,2,PI,86,WCDMA,3G,1996
2009,2,PI,89,AMPS,1G,25
2009,2,PI,89,Dados > 256kbps,3G,542
2009,2,PI,89,Dados até 256kbps,2G,1130
2009,2,PI,89,GSM,2G,235818
2009,2,PI,89,TDMA,2G,3841
2009,2,PI,89,WCDMA,3G,139
2009,2,PR,41,AMPS,1G,1685
2009,2,PR,41,CDMA IS 95,2G,238229
2009,2,PR,41,CDMA2000,2G,5944
2009,2,PR,41,Dados > 256kbps,3G,23353
2009,2,PR,41,Dados até 256kbps,2G,96331
2009,2,PR,41,GSM,2G,2849872
2009,2,PR,41,TDMA,2G,16404
2009,2,PR,41,WCDMA,3G,36057
